rep,lv,alp,num_cell,cell_size,sparse_freq,error
1,2,0.01,200,2,2,171.77836572322485
1,2,0.01,200,2,4,205.9059260752682
1,2,0.01,200,2,8,216.88466973198496
1,2,0.01,200,4,2,186.774195654823
1,2,0.01,200,4,4,219.69027952169571
1,2,0.01,200,4,8,233.35381565476843
1,2,0.01,200,8,2,190.5744481030324
1,2,0.01,200,8,4,227.47091813383346
1,2,0.01,200,8,8,242.0848205582003
1,2,0.01,500,2,2,153.6148591880971
1,2,0.01,500,2,4,191.99370046056336
1,2,0.01,500,2,8,205.70847321427584
1,2,0.01,500,4,2,166.11088810923113
1,2,0.01,500,4,4,214.97302742257241
1,2,0.01,500,4,8,233.04307640118085
1,2,0.01,500,8,2,163.25645311345218
1,2,0.01,500,8,4,213.91846431526196
1,2,0.01,500,8,8,233.0895325626552
1,2,0.1,50,2,2,167.92262440123164
1,2,0.1,50,2,4,180.50782786379372
1,2,0.1,50,2,8,188.24370825842507
1,2,0.1,50,4,2,167.94995431039138
1,2,0.1,50,4,4,195.48641809373524
1,2,0.1,50,4,8,210.02554280388355
1,2,0.1,50,8,2,166.4636065714505
1,2,0.1,50,8,4,201.4367044298805
1,2,0.1,50,8,8,222.80602761989206
1,2,0.1,100,2,2,147.36673490144062
1,2,0.1,100,2,4,170.93504142597146
1,2,0.1,100,2,8,181.99211688313585
1,2,0.1,100,4,2,157.00278492298082
1,2,0.1,100,4,4,187.5112057910425
1,2,0.1,100,4,8,204.9771096359321
1,2,0.1,100,8,2,159.06242752523212
1,2,0.1,100,8,4,195.79496860527377
